sample_name	fq1	fq2	alias_name	batch	sample_type	sample_status	read_size	sampleID
PDX1_D_1	.../PDX1_D_1_R1.fastq.gz	.../PDX1_D_1_R2.fastq.gz	-	1	PDX	D	150	PDX1
PDX1_D_2	.../PDX1_D_2_R1.fastq.gz	.../PDX1_D_2_R2.fastq.gz	PDX-1D3	2	PDX	D	150	PDX1
PDX1_D_3	.../PDX1_D_3_R1.fastq.gz	.../PDX1_D_3_R2.fastq.gz	PDX-1D5	2	PDX	D	150	PDX1
PDX1_R_1	.../PDX1_R_1_R1.fastq.gz	.../PDX1_R_1_R2.fastq.gz	-	1	PDX	R	150	PDX1
PDX1_R_2	.../PDX1_R_2_R1.fastq.gz	.../PDX1_R_2_R2.fastq.gz	PDX-1R6	2	PDX	R	150	PDX1
PDX1_R_3	.../PDX1_R_3_R1.fastq.gz	.../PDX1_R_3_R2.fastq.gz	PDX-1R9	2	PDX	R	150	PDX1
PDX2_D_1	.../PDX2_D_1_R1.fastq.gz	.../PDX2_D_1_R2.fastq.gz	-	1	PDX	D	150	PDX2
PDX2_D_2	.../PDX2_D_2_R1.fastq.gz	.../PDX2_D_2_R2.fastq.gz	PDX-2D2	2	PDX	D	150	PDX2
PDX2_D_3	.../PDX2_D_3_R1.fastq.gz	.../PDX2_D_3_R2.fastq.gz	PDX-2D3	2	PDX	D	150	PDX2
PDX2_R_1	.../PDX2_R_1_R1.fastq.gz	.../PDX2_R_1_R2.fastq.gz	-	1	PDX	R	150	PDX2
PDX2_R_2	.../PDX2_R_2_R1.fastq.gz	.../PDX2_R_2_R2.fastq.gz	PDX-2R5	2	PDX	R	150	PDX2
PDX2_R_3	.../PDX2_R_3_R1.fastq.gz	.../PDX2_R_3_R2.fastq.gz	PDX-2R7	2	PDX	R	150	PDX2
PDX3_D_1	.../PDX3_D_1_R1.fastq.gz	.../PDX3_D_1_R2.fastq.gz	-	1	PDX	D	150	PDX3
PDX3_D_2	.../PDX3_D_2_R1.fastq.gz	.../PDX3_D_2_R2.fastq.gz	PDX-3D1	2	PDX	D	150	PDX3
PDX3_D_3	.../PDX3_D_3_R1.fastq.gz	.../PDX3_D_3_R2.fastq.gz	PDX-3D4	2	PDX	D	150	PDX3
PDX3_R_1	.../PDX3_R_1_R1.fastq.gz	.../PDX3_R_1_R2.fastq.gz	-	1	PDX	R	150	PDX3
PDX3_R_2	.../PDX3_R_2_R1.fastq.gz	.../PDX3_R_2_R2.fastq.gz	PDX-3D16	2	PDX	R	150	PDX3
PDX3_R_3	.../PDX3_R_3_R1.fastq.gz	.../PDX3_R_3_R2.fastq.gz	PDX-3D19	2	PDX	R	150	PDX3
PDX4_D_1	.../PDX4_D_1_R1.fastq.gz	.../PDX4_D_1_R2.fastq.gz	-	1	PDX	D	150	PDX4
PDX4_D_2	.../PDX4_D_2_R1.fastq.gz	.../PDX4_D_2_R2.fastq.gz	PDX-4D4	2	PDX	D	150	PDX4
PDX4_D_3	.../PDX4_D_3_R1.fastq.gz	.../PDX4_D_3_R2.fastq.gz	PDX-4D7	2	PDX	D	150	PDX4
PDX4_R_1	.../PDX4_R_1_R1.fastq.gz	.../PDX4_R_1_R2.fastq.gz	-	1	PDX	R	150	PDX4
PDX4_R_2	.../PDX4_R_2_R1.fastq.gz	.../PDX4_R_2_R2.fastq.gz	PDX-4R10	2	PDX	R	150	PDX4
PDX4_R_3	.../PDX4_R_3_R1.fastq.gz	.../PDX4_R_3_R2.fastq.gz	PDX-4R19	2	PDX	R	150	PDX4
